post_code,post_date,district,square,bedroom,bathroom,house_direction,has_balcony,has_furniture,has_legal_info,is_hurried,floor,has_basement,house_type,price
278147,"[datetime.datetime(2023, 9, 14, 10, 41)]",Thủ Đức,104.0,4.0,4.0,tây,False,True,True,False,2,False,nhà riêng,8.0
278143,"[datetime.datetime(2023, 9, 14, 10, 45)]",Bình Tân,64.0,,,đông,False,False,False,False,4,False,nhà riêng,6.0
278142,"[datetime.datetime(2023, 9, 14, 10, 51)]",Bình Tân,66.0,,,đông,False,False,False,False,2,False,nhà riêng,5.5
278141,"[datetime.datetime(2023, 9, 14, 10, 56)]",Bình Thạnh,42.0,4.0,3.0,,False,True,True,True,3,False,nhà riêng,2.0
278136,"[datetime.datetime(2023, 9, 14, 11, 10)]",Bình Tân,48.0,,,đông,False,False,False,False,4,False,nhà riêng,4.68
278135,"[datetime.datetime(2023, 9, 14, 11, 15)]",Bình Thạnh,70.0,3.0,2.0,,False,False,True,False,2,False,nhà riêng,3.7
278131,"[datetime.datetime(2023, 9, 14, 12, 28)]",Bình Tân,80.0,3.0,3.0,đông,True,False,False,True,2,False,nhà mặt phố,6.68
278127,"[datetime.datetime(2023, 9, 14, 13, 21)]",Gò Vấp,76.0,5.0,3.0,,False,False,True,False,4,False,nhà riêng,7.0
278126,"[datetime.datetime(2023, 9, 14, 13, 26)]",Bình Thạnh,42.0,4.0,5.0,,False,False,False,False,5,False,nhà riêng,7.4
278118,"[datetime.datetime(2023, 9, 14, 14, 33)]",Bình Tân,200.0,7.0,5.0,nam,True,False,True,True,5,False,nhà mặt phố,35.0
278117,"[datetime.datetime(2023, 9, 14, 14, 49)]",Quận 6,282.0,3.0,3.0,đông,True,False,True,True,0,False,nhà mặt phố,45.0
278115,"[datetime.datetime(2023, 9, 14, 14, 53)]",Quận 9,230.0,5.0,4.0,,True,False,True,False,0,False,nhà riêng,5.0
278109,"[datetime.datetime(2023, 9, 14, 15, 40)]",Phú Nhuận,57.0,4.0,3.0,,False,True,True,False,3,False,nhà riêng,2.65
278108,"[datetime.datetime(2023, 9, 14, 15, 45)]",Bình Thạnh,282.0,36.0,36.0,,False,True,True,True,6,True,nhà riêng,70.0
278106,"[datetime.datetime(2023, 9, 14, 16, 0)]",Quận 3,40.0,8.0,,,False,False,True,False,6,False,nhà riêng,4.5
278100,"[datetime.datetime(2023, 9, 14, 16, 58)]",Bình Thạnh,60.0,3.0,2.0,,False,False,True,False,2,False,nhà riêng,4.2
278097,"[datetime.datetime(2023, 9, 14, 17, 25)]",Gò Vấp,45.0,3.0,3.0,tây,False,True,True,False,4,False,nhà riêng,6.6
278095,"[datetime.datetime(2023, 9, 14, 20, 11)]",Bình Tân,76.0,5.0,4.0,đông,True,True,True,False,5,False,nhà riêng,6.68
278094,"[datetime.datetime(2023, 9, 14, 20, 19)]",Gò Vấp,56.0,4.0,5.0,,False,True,True,False,8,False,nhà riêng,7.0
278092,"[datetime.datetime(2023, 9, 14, 20, 46)]",Bình Tân,270.0,,,,False,False,False,False,5,False,nhà riêng,8.8
278091,"[datetime.datetime(2023, 9, 14, 20, 48)]",Gò Vấp,41.0,4.0,,tây-bắc,False,True,True,True,5,False,nhà riêng,6.4
