url,title,post_code,post_date,district,price,square,bedroom,bathroom
https://batdongsan.vn/nha-mt-tan-huong-qtan-phu-5-tang-btct-5pn-6wc-120m2-kinh-dinh-dinh-ngang-chuan-no-hau-r278567,"NHÀ MT TÂN HƯƠNG, Q.TÂN PHÚ 5 TẦNG BTCT 5PN 6WC, 120M2 KINH DINH ĐỈNH, NGANG CHUẨN NỞ HẬU",278567,"[datetime.datetime(2023, 9, 20, 15, 55)]",Tân Phú,10.9,120.0,5.0,5.0
https://batdongsan.vn/ban-gap-nha-mat-tien-kinh-doanh-1t-2l-chi-62ty-dg-475-do-xuan-hopphuoc-long-b-r278557,BÁN GẤP NHÀ MẶT TIỀN - KINH DOANH 1T+ 2L. CHỈ 6.2tỷ.  Đg 475 Đỗ Xuân Hợp.Phước Long B,278557,"[datetime.datetime(2023, 9, 20, 17, 36)]",Quận 9,6.2,70.0,4.0,3.0
https://batdongsan.vn/nha-moi-dep-mat-tien-2-tang-42x27m-gan-aeon-tan-phu-binh-tan-r278553,"Nhà mới đẹp, mặt tiền 2 tầng 4.2x27m-gần Aeon tân phú- Bình tân",278553,"[datetime.datetime(2023, 9, 20, 20, 18)]",Bình Tân,4.85,120.0,3.0,2.0
https://batdongsan.vn/ban-hoac-cho-thue-nha-1ham-4lau-mt-duong-dang-van-bi-tp-thu-duc-r278552,"Bán hoặc cho thuê nhà 1Hầm + 4Lầu. MT đường Đặng Văn Bi, Tp Thủ Đức",278552,"[datetime.datetime(2023, 9, 20, 21, 8)]",Thủ Đức,29.5,140.0,,
https://batdongsan.vn/nha-moi-keng-gan-khu-ten-lua-giap-quan-6-duong-6m-nhinh-4-ty-r278550,NHÀ MỚI KENG - GẦN KHU TÊN LỬA - GIÁP QUẬN 6 - ĐƯỜNG 6M - NHỈNH 4 TỶ,278550,"[datetime.datetime(2023, 9, 20, 22, 1)]",Bình Tân,4.5,41.0,,
https://batdongsan.vn/gap-ban-mat-tien-moi-xay-kdc-nam-long-binh-tan-duoc-tang-noi-that-chi-7-ty-r278548,GẤP BÁN MẶT TIỀN MỚI XÂY KDC NAM LONG BÌNH TÂN - ĐƯỢC TẶNG NỘI THẤT – CHỈ 7 TỶ,278548,"[datetime.datetime(2023, 9, 20, 23, 9)]",Bình Tân,7.0,72.0,,
https://batdongsan.vn/nha-dep-duong-nhua-6m-binh-tan-4-x-15-4-tang-khu-sam-uat-chi-4-ty-8-r278547,"Nhà Đẹp Đường Nhựa 6m Bình Tân, 4 x 15, 4 Tầng, Khu Sầm Uất, Chỉ 4 Tỷ 8",278547,"[datetime.datetime(2023, 9, 20, 23, 27)]",Bình Tân,4.8,60.0,4.0,5.0
https://batdongsan.vn/ban-nha-hxt-duong-thoai-ngoc-hau-tan-phu-75m-44x17-so-a4-gan-mat-tien-r278546,"BÁN NHÀ HXT ĐƯỜNG THOẠI NGỌC HẦU, TÂN PHÚ - 75M (4.4x17) SỔ A4 - GẦN MẶT TIỀN",278546,"[datetime.datetime(2023, 9, 20, 23, 54)]",Tân Phú,5.5,75.0,2.0,
https://batdongsan.vn/khu-vip-tan-phu-nha-1-sec-vuon-lai-cach-luy-ban-bich-chi-100m-vai-buoc-ra-mat-tien-vuon-lai-nha-dep-2-tang-3pn-41m2-gia-hon-4-ty-r278544,KHU VIP - TÂN PHÚ- NHÀ 1 SẸC VƯỜN LÀI - CÁCH LUỸ BÁN BÍCH CHỈ 100M - VÀI BƯỚC RA MẶT TIỀN VƯỜN LÀI - NHÀ ĐẸP 2 TẦNG - 3PN - 41M2 - GIÁ HƠN 4 TỶ,278544,"[datetime.datetime(2023, 9, 21, 5, 58)]",Tân Phú,4.0,41.0,3.0,3.0
https://batdongsan.vn/cua-vom-nhua-gia-go-composite-tai-quan-7-chong-nuoc-100-r278540,Cửa Vòm nhựa giả gỗ Composite tại Quận 7 | Chống nước 100%,278540,"[datetime.datetime(2023, 9, 19, 10, 48)]",Quận 7,,,,
https://batdongsan.vn/ban-nha-dep-4-tang-5x145-o-to-dau-nha-bhh-binh-tan-gia-re-r278535,Bán nhà đẹp 4 Tầng 5x14.5- Ô tô đậu nhà- BHH- Bình tân- Giá rẻ.,278535,"[datetime.datetime(2023, 9, 19, 11, 20)]",Bình Tân,5180000.0,72.0,4.0,3.0
https://batdongsan.vn/17-ty-co-nha-shr-hiep-thanh-khong-quy-hoach-lo-gioi-dtsd-32m2-r278531,"1.7 tỷ có nhà SHR Hiệp Thành, không quy hoạch lộ giới, DTSD 32m2",278531,"[datetime.datetime(2023, 9, 19, 11, 38)]",Quận 12,1.7,17.0,2.0,1.0
https://batdongsan.vn/nha-hiem-ngang-5m-hem-xe-tai-le-van-sy-phu-nhuan-r278529,Nhà hiếm ngang 5m hẻm xe tải Lê Văn Sỹ – Phú nhuận,278529,"[datetime.datetime(2023, 9, 19, 11, 48)]",Phú Nhuận,,45.0,4.0,4.0
https://batdongsan.vn/ban-2-can-nha-3-tang-p-linh-chieu-tp-thu-duc-dt-160m2-gia-118-ty-r278528,"Bán 2 Căn nhà 3 Tầng, P. Linh Chiểu Tp Thủ Đức, dt 160m2 giá 11,8 Tỷ",278528,"[datetime.datetime(2023, 9, 19, 12, 3)]",Thủ Đức,11.8,160.0,,
